,型号,品牌,采购数量,适用价格(人民币),库存数量,货期,来源网站,渠道链接,原始币种价格,查询时间,最低价
0,CC0402JRNPO9BN200,未显示,50000,0.0101,,现货,云汉芯城,https://www.ickey.cn/detail/1003001445184041/CC0402JRNPO9BN200.html#,0.0101 CNY,2026-06-23 10:37:32,⭐
1,CC0402JRNPO9BN200,未显示,50000,,未显示,无价格信息,Digi-Key,https://www.digikey.cn/zh/products/detail/yageo/CQ0402JRNPO9BN200/14650852,未显示价格,2026-06-23 10:37:03,
2,CC0402JRNPO9BN200,国巨,50000,,未显示,未找到型号,Mouser,https://www.mouser.cn,无,2026-06-23 10:37:15,
3,CC0402JRNPO9BN200,国巨,50000,,未显示,未找到型号,立创商城,https://www.szlcsc.com,无,2026-06-23 10:37:22,
4,CC0402JRNPO9BN200,未显示,50000,,未显示,无价格信息,华强电子网,https://so.hqew.com/product/CC0402JRNPO9BN200,未显示价格,2026-06-23 10:37:37,
5,RC0402FR-0710KL,未显示,400000,0.001,,现货,云汉芯城,https://www.ickey.cn/detail/1003001430013192/RC0402FR-0710KL.html#,0.0010 CNY,2026-06-23 10:35:33,⭐
6,RC0402FR-0710KL,国巨,400000,,未显示,查询失败: Page.goto: net::ERR_CONNECTION_CLOSED at https://w,Digi-Key,https://www.digikey.cn,无,2026-06-23 10:33:03,
7,RC0402FR-0710KL,国巨,400000,,未显示,未找到型号,Mouser,https://www.mouser.cn,无,2026-06-23 10:35:15,
8,RC0402FR-0710KL,国巨,400000,,未显示,未找到型号,立创商城,https://www.szlcsc.com,无,2026-06-23 10:35:22,
9,RC0402FR-0710KL,未显示,400000,,未显示,无价格信息,华强电子网,https://so.hqew.com/product/RC0402FR-0710KL,未显示价格,2026-06-23 10:35:39,
10,RC0402FR-07110KL,未显示,50000,0.0032,,现货,云汉芯城,https://www.ickey.cn/detail/1003001444976007/RC0402FR-07110KL.html#,0.0032 CNY,2026-06-23 10:36:45,⭐
11,RC0402FR-07110KL,未显示,50000,,未显示,无价格信息,Digi-Key,https://www.digikey.cn/zh/products/detail/yageo/AF0402FR-07110KL/12707934,未显示价格,2026-06-23 10:36:14,
12,RC0402FR-07110KL,国巨,50000,,未显示,未找到型号,Mouser,https://www.mouser.cn,无,2026-06-23 10:36:28,
13,RC0402FR-07110KL,国巨,50000,,未显示,未找到型号,立创商城,https://www.szlcsc.com,无,2026-06-23 10:36:35,
14,RC0402FR-07110KL,未显示,50000,,未显示,无价格信息,华强电子网,https://so.hqew.com/product/RC0402FR-07110KL,未显示价格,2026-06-23 10:36:51,
